id,port,ship,date,duration,interior_pp_usd,cruise_total_2,flight_route,flight_2,trip_total_2,official_deep_link_verified,independent_crosscheck,result
FLL2-02,"Fort Lauderdale, FL",Regal Princess,2027-03-06,8,1799,"$3,598",SFO → FLL → SFO,$860 planning estimate,"$4,458",www.princess.com deep link,cruisetimetables 2027 day/index page,VERIFIED
FLL2-03,"Fort Lauderdale, FL",Rotterdam,2027-03-06,10,1299,"$2,598",SFO → FLL → SFO,$860 planning estimate,"$3,458",www.hollandamerica.com deep link,cruisetimetables 2027 day/index page,VERIFIED
FLL2-04,"Fort Lauderdale, FL",Adventure of the Seas,2027-03-13,8,979,"$1,958",SFO → FLL → SFO,$860 planning estimate,"$2,818",www.royalcaribbean.com deep link,cruisetimetables 2027 day/index page,VERIFIED
FLL2-05,"Fort Lauderdale, FL",Star Princess,2027-03-13,7,849,"$1,698",SFO → FLL → SFO,$860 planning estimate,"$2,558",www.princess.com deep link,cruisetimetables 2027 day/index page,VERIFIED
FLL2-06,"Fort Lauderdale, FL",Disney Destiny,2027-03-13,5,3983,"$7,966",SFO → FLL → SFO,$860 planning estimate,"$8,826",disneycruise.disney.go.com deep link,cruisetimetables 2027 day/index page,VERIFIED
PC2-01,"Port Canaveral, FL",Carnival Vista,2027-03-06,8,877,"$1,754",SFO → MCO → SFO,$860 planning estimate,"$2,614",www.carnival.com deep link,cruisetimetables 2027 day/index page,VERIFIED
PC2-02,"Port Canaveral, FL",Celebrity Apex,2027-03-06,7,1038,"$2,076",SFO → MCO → SFO,$860 planning estimate,"$2,936",www.celebritycruises.com deep link,cruisetimetables 2027 day/index page,VERIFIED
PC2-03,"Port Canaveral, FL",Disney Treasure,2027-03-06,7,5628,"$11,256",SFO → MCO → SFO,$860 planning estimate,"$12,116",disneycruise.disney.go.com deep link,cruisetimetables 2027 day/index page,VERIFIED
PC2-04,"Port Canaveral, FL",Harmony of the Seas,2027-03-06,7,989,"$1,978",SFO → MCO → SFO,$860 planning estimate,"$2,838",www.royalcaribbean.com deep link,cruisetimetables 2027 day/index page,VERIFIED
PC2-05,"Port Canaveral, FL",Mardi Gras,2027-03-06,7,824,"$1,648",SFO → MCO → SFO,$860 planning estimate,"$2,508",www.carnival.com deep link,cruisetimetables 2027 day/index page,VERIFIED
PC2-06,"Port Canaveral, FL",Carnival Freedom,2027-03-13,5,533,"$1,066",SFO → MCO → SFO,$860 planning estimate,"$1,926",www.carnival.com deep link,cruisetimetables 2027 day/index page,VERIFIED
PC2-07,"Port Canaveral, FL",Celebrity Apex,2027-03-13,7,1303,"$2,606",SFO → MCO → SFO,$860 planning estimate,"$3,466",www.celebritycruises.com deep link,cruisetimetables 2027 day/index page,VERIFIED
PC2-08,"Port Canaveral, FL",Disney Treasure,2027-03-13,7,6159,"$12,318",SFO → MCO → SFO,$860 planning estimate,"$13,178",disneycruise.disney.go.com deep link,cruisetimetables 2027 day/index page,VERIFIED
PC2-09,"Port Canaveral, FL",Harmony of the Seas,2027-03-13,7,1066,"$2,132",SFO → MCO → SFO,$860 planning estimate,"$2,992",www.royalcaribbean.com deep link,cruisetimetables 2027 day/index page,VERIFIED
PC2-10,"Port Canaveral, FL",Mardi Gras,2027-03-13,7,822,"$1,644",SFO → MCO → SFO,$860 planning estimate,"$2,504",www.carnival.com deep link,cruisetimetables 2027 day/index page,VERIFIED
TPA2-01,"Tampa, FL",Carnival Paradise,2027-03-06,5,465,$930,SFO → TPA → SFO,$914 planning estimate,"$1,844",www.carnival.com deep link,cruisetimetables 2027 day/index page,VERIFIED
TPA2-02,"Tampa, FL",Radiance of the Seas,2027-03-06,8,709,"$1,418",SFO → TPA → SFO,$914 planning estimate,"$2,332",www.royalcaribbean.com deep link,cruisetimetables 2027 day/index page,VERIFIED
TPA2-03,"Tampa, FL",Carnival Legend,2027-03-13,8,1225,"$2,450",SFO → TPA → SFO,$914 planning estimate,"$3,364",www.carnival.com deep link,cruisetimetables 2027 day/index page,VERIFIED
TPA2-04,"Tampa, FL",Jewel of the Seas,2027-03-13,5,579,"$1,158",SFO → TPA → SFO,$914 planning estimate,"$2,072",www.royalcaribbean.com deep link,cruisetimetables 2027 day/index page,VERIFIED
TPA2-05,"Tampa, FL",Margaritaville at Sea Islander,2027-03-13,5,399,$798,SFO → TPA → SFO,$914 planning estimate,"$1,712",margaritavilleatsea.com deep link,cruisetimetables 2027 day/index page,VERIFIED
